ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
Republic of Moldova,2020-04-01T00:00:00.000Z,353,3,85346,28.47434317,47.19332561,Republic of Moldova,摩尔多瓦共和国,République de Moldova,la República de Moldova,Республика Молдова, جمهورية مولدوفا
Kazakhstan,2020-04-01T00:00:00.000Z,348,2,85347,67.30130018,48.1600427,Kazakhstan,哈萨克斯坦,Kazakhstan,Kazajstán,Казахстан,كازاخستان
North Macedonia,2020-04-01T00:00:00.000Z,329,9,85348,21.6991485,41.59922075,North Macedonia,北马其顿,Macédoine du Nord,Macedonia del Norte,Северная Македония,مقدونيا الشمالية
Azerbaijan,2020-04-01T00:00:00.000Z,298,5,85349,47.53232681,40.2922195,Azerbaijan,阿塞拜疆,Azerbaïdjan,Azerbaiyán,Азербайджан,أذربيجان
Cyprus,2020-04-01T00:00:00.000Z,262,8,85350,33.21863708,35.04299175,Cyprus,塞浦路斯,Chypre,Chipre,Кипр,قبرص
Albania,2020-04-01T00:00:00.000Z,243,13,85351,20.06917817,41.14595803,Albania,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
San Marino,2020-04-01T00:00:00.000Z,236,26,85352,12.46035762,43.94191474,San Marino,圣马力诺,Saint-Marin,San Marino,Сан-Марино,سان مارينو
Uzbekistan,2020-04-01T00:00:00.000Z,173,2,85353,63.16950578,41.75041661,Uzbekistan,乌兹别克斯坦,Ouzbékistan,Uzbekistán,Узбекистан,أوزبكستان
Faroe Islands,2020-04-01T00:00:00.000Z,169,0,85354,-6.86363602,62.050314,Faroe Islands,"法罗群岛
",,,,
Malta,2020-04-01T00:00:00.000Z,167,0,85355,14.40457358,35.92036651,Malta,马耳他,Malte,Malta,Мальта,مالطة
Belarus,2020-04-01T00:00:00.000Z,152,0,85356,28.04696448,53.54021951,Belarus,白俄罗斯,Bélarus,Belarús,Беларусь,بيلاروس
Georgia,2020-04-01T00:00:00.000Z,115,0,85357,43.51757115,42.17632583,Georgia,格鲁吉亚,Géorgie,Georgia,Грузия,جورجيا
Kosovo[1],2020-04-01T00:00:00.000Z,112,1,85358,20.81133086,44.03387222,Kosovo[1],科索沃[1],,,,
Kyrgyzstan,2020-04-01T00:00:00.000Z,111,0,85359,74.555493,41.46490717,Kyrgyzstan,吉尔吉斯斯坦,Kirghizistan,Kirguistán,Кыргызстан,قيرغيزستان
Montenegro,2020-04-01T00:00:00.000Z,105,2,85360,19.26458919,42.79659203,Montenegro,黑山,Monténégro,Montenegro,Черногория,الجبل الأسود
Gibraltar,2020-04-01T00:00:00.000Z,69,0,85361,-5.34488893,36.1381932,Gibraltar,"直布罗陀
",,,,
Liechtenstein,2020-04-01T00:00:00.000Z,68,0,85362,9.55526493,47.15259548,Liechtenstein,"列支敦士登
",,,,
Jersey,2020-04-01T00:00:00.000Z,63,2,85363,-2.12891773,49.21949816,Jersey,"泽西岛
",,,,
Guernsey,2020-04-01T00:00:00.000Z,60,1,85364,-2.57582282,49.4590463,Guernsey,"根西岛
",,,,
Isle of Man,2020-04-01T00:00:00.000Z,52,0,85365,-4.52652992,54.2288333,Isle of Man,"马恩岛
",,,,
Monaco,2020-04-01T00:00:00.000Z,52,0,85366,7.41201715,43.75034615,Monaco,摩纳哥,Monaco,Mónaco,Монако,موناكو
Greenland,2020-04-01T00:00:00.000Z,10,0,85367,-41.39096667,74.71895353,Greenland,"格陵兰岛
",,,,
Holy See,2020-04-01T00:00:00.000Z,6,0,85368,12.48571114,41.89324195,Holy See,"梵蒂冈
",,,,
Thailand,2020-04-01T00:00:00.000Z,1771,12,85369,101.0149078,15.11989876,Thailand,泰国,Thaïlande,Tailandia,Таиланд,تايلند
Indonesia,2020-04-01T00:00:00.000Z,1677,157,85370,117.3110169,-2.22903453,Indonesia,印度尼西亚,Indonésie,Indonesia,Индонезия,إندونيسيا
India,2020-04-01T00:00:00.000Z,1636,38,85371,79.6188183,22.88132057,India,印度,Inde,India,Индия,الهند
Sri Lanka,2020-04-01T00:00:00.000Z,143,2,85372,80.70426262,7.61236243,Sri Lanka,斯里兰卡,Sri Lanka,Sri Lanka,Шри-Ланка,سري لانكا
Bangladesh,2020-04-01T00:00:00.000Z,54,6,85373,90.27092576,23.8330072,Bangladesh,孟加拉国,Bangladesh,Bangladesh,Бангладеш,بنغلاديش
Maldives,2020-04-01T00:00:00.000Z,18,0,85374,73.25178478,3.37481932,Maldives,马尔代夫,Maldives,Maldivas,Мальдивские Острова,ملديف
Myanmar,2020-04-01T00:00:00.000Z,15,1,85375,96.50868206,21.14009536,Myanmar,缅甸,Myanmar,Myanmar,Мьянма,ميانمار
Nepal,2020-04-01T00:00:00.000Z,5,0,85376,83.93851707,28.25300785,Nepal,尼泊尔,Népal,Nepal,Непал,نيبال
Bhutan,2020-04-01T00:00:00.000Z,4,0,85377,90.42943275,27.41546082,Bhutan,不丹,Bhoutan,Bhután,Бутан,بوتان
Timor-Leste,2020-04-01T00:00:00.000Z,1,0,85378,125.8609961,-8.82052123,Timor-Leste,东帝汶,Timor-Leste,Timor-Leste,Тимор-Лешти,تيمور- ليشتي
Iran (Islamic Republic of),2020-04-01T00:00:00.000Z,47593,3036,85380,54.30141376,32.56479959,Iran (Islamic Republic of),伊朗（伊斯兰共和国）,Iran (République islamique d'),Irán (República Islámica del),Иран (Исламская Республика),إيران (جمهورية - الإسلامية)
Pakistan,2020-04-01T00:00:00.000Z,2291,31,85381,69.38581881,29.96678898,Pakistan,巴基斯坦,Pakistan,Pakistán,Пакистан,باكستان
Saudi Arabia,2020-04-01T00:00:00.000Z,1720,16,85382,44.57044965,24.08088192,Saudi Arabia,沙特阿拉伯,Arabie saoudite,Arabia Saudita,Саудовская Аравия,المملكة العربية السعودية
Qatar,2020-04-01T00:00:00.000Z,835,2,85383,51.19120083,25.31580997,Qatar,卡塔尔,Qatar,Qatar,Катар,قطر
United Arab Emirates,2020-04-01T00:00:00.000Z,814,8,85384,54.33219878,23.91267254,United Arab Emirates,阿拉伯联合酋长国,Émirats arabes unis,Emiratos Árabes Unidos,Объединенные Арабские Эмираты,الإمارات العربية المتحدة
Egypt,2020-04-01T00:00:00.000Z,779,52,85385,29.78210708,26.5565646,Egypt,埃及,Égypte,Egipto,Египет,مصر
Iraq,2020-04-01T00:00:00.000Z,728,52,85386,43.77224552,33.04800654,Iraq,伊拉克,Iraq,Iraq,Ирак,العراق
Morocco,2020-04-01T00:00:00.000Z,676,39,85387,-6.31780295,31.88355697,Morocco,摩洛哥,Maroc,Marruecos,Марокко,المغرب
Bahrain,2020-04-01T00:00:00.000Z,569,4,85388,50.56248915,26.01947392,Bahrain,巴林,Bahreïn,Bahrein,Бахрейн,البحرين
Lebanon,2020-04-01T00:00:00.000Z,479,12,85389,35.88806123,33.92039304,Lebanon,黎巴嫩,Liban,Líbano,Ливан,لبنان
Tunisia,2020-04-01T00:00:00.000Z,423,12,85390,9.56156142,34.11124917,Tunisia,突尼斯,Tunisie,Túnez,Тунис,تونس
Kuwait,2020-04-01T00:00:00.000Z,317,0,85391,47.59355128,29.34250906,Kuwait,科威特,Koweït,Kuwait,Кувейт,الكويت
Jordan,2020-04-01T00:00:00.000Z,278,5,85392,36.78694114,31.25338179,Jordan,约旦,Jordanie,Jordania,Иордания,الأردن
