"","Country.Region","WHO.region","Dates","Cases","Date","Type","Date_Flag","lockdown","CENTER_LON","CENTER_LAT"
"2499","Colombia","Region of the Americas",2020-03-17,45,2020-03-25,1,0,1,-73.07576335,3.90037401
"2500","Colombia","Region of the Americas",2020-03-18,45,2020-03-25,1,0,1,-73.07576335,3.90037401
"2501","Colombia","Region of the Americas",2020-03-19,93,2020-03-25,1,0,1,-73.07576335,3.90037401
"2502","Colombia","Region of the Americas",2020-03-20,108,2020-03-25,1,0,1,-73.07576335,3.90037401
"2503","Colombia","Region of the Americas",2020-03-21,145,2020-03-25,1,0,1,-73.07576335,3.90037401
"2504","Colombia","Region of the Americas",2020-03-22,196,2020-03-25,1,0,1,-73.07576335,3.90037401
"2505","Colombia","Region of the Americas",2020-03-23,196,2020-03-25,1,0,1,-73.07576335,3.90037401
"2506","Colombia","Region of the Americas",2020-03-24,277,2020-03-25,1,0,1,-73.07576335,3.90037401
"2507","Colombia","Region of the Americas",2020-03-25,306,2020-03-25,1,1,1,-73.07576335,3.90037401
"2508","Colombia","Region of the Americas",2020-03-26,470,2020-03-25,1,1,1,-73.07576335,3.90037401
"2509","Colombia","Region of the Americas",2020-03-27,470,2020-03-25,1,1,1,-73.07576335,3.90037401
"2510","Colombia","Region of the Americas",2020-03-28,491,2020-03-25,1,1,1,-73.07576335,3.90037401
"2511","Colombia","Region of the Americas",2020-03-29,539,2020-03-25,1,1,1,-73.07576335,3.90037401
"2512","Colombia","Region of the Americas",2020-03-30,608,2020-03-25,1,1,1,-73.07576335,3.90037401
"2513","Colombia","Region of the Americas",2020-03-31,702,2020-03-25,1,1,1,-73.07576335,3.90037401
"2514","Colombia","Region of the Americas",2020-04-01,798,2020-03-25,1,1,1,-73.07576335,3.90037401
"2515","Colombia","Region of the Americas",2020-04-02,906,2020-03-25,1,1,1,-73.07576335,3.90037401
"2516","Colombia","Region of the Americas",2020-04-03,1065,2020-03-25,1,1,1,-73.07576335,3.90037401
"2517","Costa Rica","Region of the Americas",2020-01-21,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2518","Costa Rica","Region of the Americas",2020-01-22,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2519","Costa Rica","Region of the Americas",2020-01-23,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2520","Costa Rica","Region of the Americas",2020-01-24,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2521","Costa Rica","Region of the Americas",2020-01-25,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2522","Costa Rica","Region of the Americas",2020-01-26,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2523","Costa Rica","Region of the Americas",2020-01-27,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2524","Costa Rica","Region of the Americas",2020-01-28,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2525","Costa Rica","Region of the Americas",2020-01-29,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2526","Costa Rica","Region of the Americas",2020-01-30,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2527","Costa Rica","Region of the Americas",2020-01-31,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2528","Costa Rica","Region of the Americas",2020-02-01,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2529","Costa Rica","Region of the Americas",2020-02-02,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2530","Costa Rica","Region of the Americas",2020-02-03,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2531","Costa Rica","Region of the Americas",2020-02-04,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2532","Costa Rica","Region of the Americas",2020-02-05,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2533","Costa Rica","Region of the Americas",2020-02-06,0,2020-03-15,1,0,1,-84.18903867,9.97052135
